delikt;straftaten;aufgklaerte_strafdaten;aufklaerungsrate;tot_opfer;<10;10-14;15-17;18-19;20-24;25-29;30-34;35-39;40-49;50-59;60-69;70+;s.n.;mann;frau;divers;o.A.
Phishing;3796;132;3.5%;2577;0;4;56;79;195;200;251;254;449;391;308;234;0;1188;1233;156;0
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem;214;15;7.0%;160;1;1;1;2;10;12;8;11;21;12;15;11;0;51;54;55;0
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten;879;75;8.5%;617;1;6;11;13;55;56;55;57;91;72;60;40;0;274;243;100;0
Malware – Ransomware;252;1;0.4%;175;0;0;1;0;1;3;1;2;7;11;9;5;0;28;12;135;0
Malware – E-Banking Trojaner;38;3;7.9%;38;0;0;0;2;5;0;4;3;4;3;5;10;0;19;17;2;0
Malware – Spyware;13;6;46.2%;10;0;1;0;0;0;1;1;0;2;1;1;0;0;4;3;3;0
Malware – Rogue-/Scareware;163;6;3.7%;152;0;0;2;1;1;1;1;5;6;23;36;76;0;84;68;0;0
Malware – Botnet;10;1;10.0%;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4;0
DDoS;17;2;11.8%;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;10;0
Cyberbetrug;30331;5678;18.7%;24179;8;88;412;576;1786;2101;2251;2297;4416;3708;2609;2375;7;12706;9928;1545;0
Money/Package Mules;3002;1395;46.5%;969;0;3;15;22;64;69;76;77;170;154;126;96;7;504;375;90;0
Sextortion;1696;71;4.2%;1184;0;37;161;147;258;111;84;65;109;103;72;37;0;1100;84;0;0
Diebstahl von Krypto;85;8;9.4%;59;0;0;0;2;4;7;10;0;15;8;4;2;0;48;4;7;0
Verbotene Pornografie;2350;2207;93.9%;127;13;59;36;2;2;3;2;1;6;1;1;0;0;30;96;1;0
Grooming;127;107;84.3%;59;7;33;19;0;0;0;0;0;0;0;0;0;0;25;34;0;0
Sextortion;108;50;46.3%;77;2;19;29;5;11;6;1;0;2;1;1;0;0;15;62;0;0
Live Streaming;26;26;100.0%;13;0;11;2;0;0;0;0;0;0;0;0;0;0;8;5;0;0
Cybersquatting;53;1;1.9%;60;0;0;0;2;5;2;7;5;7;3;7;4;0;20;22;18;0
Cyber-Rufschädigung;58;36;62.1%;57;0;0;0;0;0;3;3;6;11;8;1;1;0;19;14;24;0
Cyberbullying/-mobbing;614;393;64.0%;484;1;33;21;18;53;47;49;45;89;59;36;7;0;186;272;26;0
Illegaler Handel im Darknet;4;2;50.0%;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Data leaking;3;2;66.7%;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
