land,jahr,cyber_kat,<10,10-17,18-24,25-29,30-39,40-49,50-59,>60,mann,frau
ch,2020,Computerbetrug,0.0,120.0,563.0,354.0,594.0,480.0,325.0,222.0,1769.0,929.0
ch,2020,Computersabotage,0.0,6.0,17.0,15.0,27.0,19.0,15.0,8.0,81.0,26.0
ch,2020,Datendiebstahl,0.0,29.0,34.0,15.0,31.0,28.0,10.0,6.0,124.0,32.0
ch,2020,Datenfälschung/-täuschung,0.0,134.0,70.0,76.0,152.0,133.0,81.0,58.0,468.0,239.0
ch,2021,Computerbetrug,0.0,204.0,586.0,404.0,746.0,496.0,417.0,315.0,2137.0,1056.0
ch,2021,Computersabotage,0.0,5.0,7.0,9.0,24.0,15.0,13.0,5.0,55.0,23.0
ch,2021,Datendiebstahl,0.0,36.0,32.0,18.0,24.0,26.0,22.0,5.0,133.0,33.0
ch,2021,Datenfälschung/-täuschung,0.0,66.0,63.0,65.0,118.0,113.0,87.0,57.0,370.0,200.0
ch,2022,Computerbetrug,0.0,233.0,672.0,429.0,735.0,535.0,441.0,350.0,2257.0,1165.0
ch,2022,Computersabotage,0.0,11.0,20.0,19.0,13.0,15.0,14.0,4.0,79.0,17.0
ch,2022,Datendiebstahl,0.0,23.0,38.0,23.0,37.0,14.0,16.0,7.0,124.0,33.0
ch,2022,Datenfälschung/-täuschung,0.0,67.0,43.0,32.0,94.0,76.0,56.0,31.0,256.0,143.0
ch,2023,Computerbetrug,3.0,229.0,761.0,474.0,839.0,604.0,480.0,397.0,2490.0,1301.0
ch,2023,Computersabotage,0.0,9.0,8.0,9.0,31.0,13.0,10.0,4.0,62.0,22.0
ch,2023,Datendiebstahl,0.0,38.0,72.0,20.0,47.0,22.0,14.0,4.0,180.0,39.0
ch,2023,Datenfälschung/-täuschung,1.0,59.0,25.0,36.0,88.0,62.0,47.0,37.0,227.0,128.0
de,2020,Datenfälschung/-täuschung,1.0,170.0,611.0,539.0,855.0,589.0,416.0,173.0,2470.0,884.0
de,2020,Computersabotage,0.0,139.0,201.0,102.0,225.0,141.0,87.0,29.0,708.0,216.0
de,2020,Datendiebstahl,1.0,215.0,487.0,375.0,683.0,406.0,260.0,95.0,1804.0,718.0
de,2020,Computerbetrug,5.0,1153.0,4631.0,3653.0,6270.0,3520.0,2229.0,1069.0,15189.0,7341.0
de,2021,Datenfälschung/-täuschung,0.0,201.0,729.0,627.0,1073.0,702.0,458.0,209.0,2921.0,1078.0
de,2021,Computersabotage,3.0,125.0,199.0,131.0,203.0,144.0,101.0,53.0,722.0,237.0
de,2021,Datendiebstahl,1.0,239.0,588.0,387.0,679.0,421.0,263.0,133.0,1933.0,778.0
de,2021,Computerbetrug,8.0,1224.0,4643.0,3685.0,6381.0,3757.0,2335.0,1134.0,15381.0,7786.0
de,2022,Datenfälschung/-täuschung,1.0,226.0,713.0,524.0,1172.0,784.0,589.0,285.0,3074.0,1220.0
de,2022,Computersabotage,3.0,105.0,161.0,79.0,214.0,142.0,70.0,29.0,589.0,214.0
de,2022,Datendiebstahl,2.0,178.0,502.0,322.0,695.0,500.0,376.0,229.0,2030.0,774.0
de,2022,Computerbetrug,10.0,1227.0,4392.0,3153.0,5673.0,3794.0,2279.0,1356.0,14526.0,7358.0
